SampleID	SwabID	Pig	Location	Timepoint	Date	Day	Decomp_Stage	Submerged	Temp	Salinity	ADH	Study	Day2	ADHAVG
FP1	1-1L1	1	L1	1	7/26/2018	1	Submerged_Fresh	NA	NA	NA	0	MSU	One	0
FP2	1-1L2	1	L2	1	7/26/2018	1	Submerged_Fresh	NA	NA	NA	0	MSU	One	0
FP3	1-1L3	1	L3	1	7/26/2018	1	Submerged_Fresh	NA	NA	NA	0	MSU	One	0
FP4	1-1L4	1	L4	1	7/26/2018	1	Submerged_Fresh	NA	NA	NA	0	MSU	One	0
FP5	1-1L5	1	L5	1	7/26/2018	1	Submerged_Fresh	NA	NA	NA	0	MSU	One	0
FP6	2-1L1	2	L1	1	7/26/2018	1	Submerged_Fresh	NA	NA	NA	0	MSU	One	0
FP7	2-1L2	2	L2	1	7/26/2018	1	Submerged_Fresh	NA	NA	NA	0	MSU	One	0
FP8	2-1L3	2	L3	1	7/26/2018	1	Submerged_Fresh	NA	NA	NA	0	MSU	One	0
FP9	2-1L4	2	L4	1	7/26/2018	1	Submerged_Fresh	NA	NA	NA	0	MSU	One	0
FP10	2-1L5	2	L5	1	7/26/2018	1	Submerged_Fresh	NA	NA	NA	0	MSU	One	0
FP11	3-1L1	3	L1	1	7/26/2018	1	Submerged_Fresh	NA	NA	NA	0	MSU	One	0
FP12	3-1L2	3	L2	1	7/26/2018	1	Submerged_Fresh	NA	NA	NA	0	MSU	One	0
FP13	3-1L3	3	L3	1	7/26/2018	1	Submerged_Fresh	NA	NA	NA	0	MSU	One	0
FP14	3-1L4	3	L4	1	7/26/2018	1	Submerged_Fresh	NA	NA	NA	0	MSU	One	0
FP15	3-1L5	3	L5	1	7/26/2018	1	Submerged_Fresh	NA	NA	NA	0	MSU	One	0
FP16	4-1L1	4	L1	1	7/26/2018	1	Submerged_Fresh	NA	NA	NA	0	MSU	One	0
FP17	4-1L2	4	L2	1	7/26/2018	1	Submerged_Fresh	NA	NA	NA	0	MSU	One	0
