Time,Location, Temp,Day,,
0,Lotic Estuary,26.4,0,,
0.25,Lotic Estuary,26.2,0.010416667,,
0.5,Lotic Estuary,25.8,0.020833333,,
0.75,Lotic Estuary,25.3,0.03125,,
1,Lotic Estuary,24.8,0.041666667,,
1.25,Lotic Estuary,24.2,0.052083333,,
1.5,Lotic Estuary,23.8,0.0625,,
1.75,Lotic Estuary,23.5,0.072916667,,
2,Lotic Estuary,23.3,0.083333333,,
2.25,Lotic Estuary,23.2,0.09375,,
2.5,Lotic Estuary,23.1,0.104166667,,
2.75,Lotic Estuary,23.1,0.114583333,,
3,Lotic Estuary,23.1,0.125,,
3.25,Lotic Estuary,23,0.135416667,,
3.5,Lotic Estuary,23,0.145833333,,
3.75,Lotic Estuary,22.9,0.15625,,
4,Lotic Estuary,22.9,0.166666667,,
4.25,Lotic Estuary,22.8,0.177083333,,
4.5,Lotic Estuary,22.8,0.1875,,
4.75,Lotic Estuary,22.8,0.197916667,,
5,Lotic Estuary,22.8,0.208333333,,
5.25,Lotic Estuary,22.8,0.21875,,
5.5,Lotic Estuary,22.7,0.229166667,,
5.75,Lotic Estuary,22.7,0.239583333,,
6,Lotic Estuary,22.7,0.25,,
6.25,Lotic Estuary,22.7,0.260416667,,
6.5,Lotic Estuary,22.7,0.270833333,,
6.75,Lotic Estuary,22.7,0.28125,,
7,Lotic Estuary,22.7,0.291666667,,
7.25,Lotic Estuary,22.7,0.302083333,,
7.5,Lotic Estuary,22.7,0.3125,,
7.75,Lotic Estuary,22.6,0.322916667,,
8,Lotic Estuary,22.7,0.333333333,,
8.25,Lotic Estuary,22.6,0.34375,,
8.5,Lotic Estuary,22.6,0.354166667,,
8.75,Lotic Estuary,22.6,0.364583333,,
9,Lotic Estuary,22.6,0.375,,
9.25,Lotic Estuary,22.6,0.385416667,,
9.5,Lotic Estuary,22.6,0.395833333,,
9.75,Lotic Estuary,22.6,0.40625,,
10,Lotic Estuary,22.6,0.416666667,,
10.25,Lotic Estuary,22.5,0.427083333,,
10.5,Lotic Estuary,22.5,0.4375,,
10.75,Lotic Estuary,22.5,0.447916667,,
11,Lotic Estuary,22.5,0.458333333,,
11.25,Lotic Estuary,22.5,0.46875,,
11.5,Lotic Estuary,22.5,0.479166667,,
11.75,Lotic Estuary,22.5,0.489583333,,
12,Lotic Estuary,22.5,0.5,,
12.25,Lotic Estuary,22.4,0.510416667,,
12.5,Lotic Estuary,22.4,0.520833333,,
12.75,Lotic Estuary,22.4,0.53125,,
13,Lotic Estuary,22.4,0.541666667,,
13.25,Lotic Estuary,22.4,0.552083333,,
13.5,Lotic Estuary,22.4,0.5625,,
13.75,Lotic Estuary,22.4,0.572916667,,
14,Lotic Estuary,22.4,0.583333333,,
14.25,Lotic Estuary,22.4,0.59375,,
14.5,Lotic Estuary,22.3,0.604166667,,
14.75,Lotic Estuary,22.3,0.614583333,,
15,Lotic Estuary,22.3,0.625,,
15.25,Lotic Estuary,22.3,0.635416667,,
15.5,Lotic Estuary,22.3,0.645833333,,
15.75,Lotic Estuary,22.4,0.65625,,
16,Lotic Estuary,22.4,0.666666667,,
16.25,Lotic Estuary,22.4,0.677083333,,
16.5,Lotic Estuary,22.4,0.6875,,
16.75,Lotic Estuary,22.4,0.697916667,,
17,Lotic Estuary,22.5,0.708333333,,
17.25,Lotic Estuary,22.5,0.71875,,
17.5,Lotic Estuary,22.5,0.729166667,,
17.75,Lotic Estuary,22.5,0.739583333,,
18,Lotic Estuary,22.5,0.75,,
18.25,Lotic Estuary,22.5,0.760416667,,
18.5,Lotic Estuary,22.5,0.770833333,,
18.75,Lotic Estuary,22.5,0.78125,,
19,Lotic Estuary,22.5,0.791666667,,
19.25,Lotic Estuary,22.5,0.802083333,,
19.5,Lotic Estuary,22.6,0.8125,,
19.75,Lotic Estuary,22.6,0.822916667,,
20,Lotic Estuary,22.7,0.833333333,,
20.25,Lotic Estuary,22.6,0.84375,,
20.5,Lotic Estuary,22.6,0.854166667,,
20.75,Lotic Estuary,22.6,0.864583333,,
21,Lotic Estuary,22.7,0.875,,
21.25,Lotic Estuary,23,0.885416667,,
21.5,Lotic Estuary,23.1,0.895833333,,
21.75,Lotic Estuary,22.9,0.90625,,
22,Lotic Estuary,24.5,0.916666667,,
22.25,Lotic Estuary,25,0.927083333,,
22.5,Lotic Estuary,24.8,0.9375,,
22.75,Lotic Estuary,24.7,0.947916667,,
23,Lotic Estuary,24.3,0.958333333,,
23.25,Lotic Estuary,24.3,0.96875,,
23.5,Lotic Estuary,24.5,0.979166667,,
23.75,Lotic Estuary,24.9,0.989583333,,
24,Lotic Estuary,24.8,1,,
24.25,Lotic Estuary,25,1.010416667,,
24.5,Lotic Estuary,25.1,1.020833333,,
24.75,Lotic Estuary,25.2,1.03125,,
25,Lotic Estuary,25.3,1.041666667,,
25.25,Lotic Estuary,25.4,1.052083333,,
25.5,Lotic Estuary,25.4,1.0625,,
25.75,Lotic Estuary,25.5,1.072916667,,
26,Lotic Estuary,25.5,1.083333333,,
26.25,Lotic Estuary,25.4,1.09375,,
26.5,Lotic Estuary,25.4,1.104166667,,
26.75,Lotic Estuary,25.3,1.114583333,,
27,Lotic Estuary,25.2,1.125,,
27.25,Lotic Estuary,25.1,1.135416667,,
27.5,Lotic Estuary,25.1,1.145833333,,
27.75,Lotic Estuary,25.2,1.15625,,
28,Lotic Estuary,25.3,1.166666667,,
28.25,Lotic Estuary,25.3,1.177083333,,
28.5,Lotic Estuary,25.3,1.1875,,
28.75,Lotic Estuary,25.4,1.197916667,,
29,Lotic Estuary,25.5,1.208333333,,
29.25,Lotic Estuary,25.5,1.21875,,
29.5,Lotic Estuary,25.6,1.229166667,,
29.75,Lotic Estuary,25.6,1.239583333,,
30,Lotic Estuary,25.7,1.25,,
30.25,Lotic Estuary,25.7,1.260416667,,
30.5,Lotic Estuary,25.7,1.270833333,,
30.75,Lotic Estuary,25.7,1.28125,,
31,Lotic Estuary,25.7,1.291666667,,
31.25,Lotic Estuary,25.7,1.302083333,,
31.5,Lotic Estuary,25.7,1.3125,,
31.75,Lotic Estuary,25.7,1.322916667,,
32,Lotic Estuary,25.7,1.333333333,,
32.25,Lotic Estuary,25.7,1.34375,,
32.5,Lotic Estuary,25.7,1.354166667,,
32.75,Lotic Estuary,25.7,1.364583333,,
33,Lotic Estuary,25.8,1.375,,
33.25,Lotic Estuary,25.8,1.385416667,,
33.5,Lotic Estuary,25.8,1.395833333,,
33.75,Lotic Estuary,25.8,1.40625,,
34,Lotic Estuary,25.8,1.416666667,,
34.25,Lotic Estuary,25.8,1.427083333,,
34.5,Lotic Estuary,25.7,1.4375,,
34.75,Lotic Estuary,25.7,1.447916667,,
35,Lotic Estuary,25.7,1.458333333,,
35.25,Lotic Estuary,25.6,1.46875,,
35.5,Lotic Estuary,25.6,1.479166667,,
35.75,Lotic Estuary,25.5,1.489583333,,
36,Lotic Estuary,25.4,1.5,,
36.25,Lotic Estuary,25.4,1.510416667,,
36.5,Lotic Estuary,25.3,1.520833333,,
36.75,Lotic Estuary,25.3,1.53125,,
37,Lotic Estuary,25.2,1.541666667,,
37.25,Lotic Estuary,25.1,1.552083333,,
37.5,Lotic Estuary,25,1.5625,,
37.75,Lotic Estuary,24.9,1.572916667,,
38,Lotic Estuary,24.9,1.583333333,,
38.25,Lotic Estuary,24.8,1.59375,,
38.5,Lotic Estuary,24.7,1.604166667,,
38.75,Lotic Estuary,24.5,1.614583333,,
39,Lotic Estuary,24.3,1.625,,
39.25,Lotic Estuary,24.2,1.635416667,,
39.5,Lotic Estuary,24,1.645833333,,
39.75,Lotic Estuary,23.9,1.65625,,
40,Lotic Estuary,23.7,1.666666667,,
40.25,Lotic Estuary,23.7,1.677083333,,
40.5,Lotic Estuary,23.6,1.6875,,
40.75,Lotic Estuary,23.6,1.697916667,,
41,Lotic Estuary,23.7,1.708333333,,
41.25,Lotic Estuary,23.8,1.71875,,
41.5,Lotic Estuary,24,1.729166667,,
41.75,Lotic Estuary,24.2,1.739583333,,
42,Lotic Estuary,24.4,1.75,,
42.25,Lotic Estuary,24.6,1.760416667,,
42.5,Lotic Estuary,24.9,1.770833333,,
42.75,Lotic Estuary,25.1,1.78125,,
43,Lotic Estuary,25.2,1.791666667,,
43.25,Lotic Estuary,25.4,1.802083333,,
43.5,Lotic Estuary,25.4,1.8125,,
43.75,Lotic Estuary,25.4,1.822916667,,
44,Lotic Estuary,25.5,1.833333333,,
44.25,Lotic Estuary,25.5,1.84375,,
44.5,Lotic Estuary,25.5,1.854166667,,
44.75,Lotic Estuary,25.8,1.864583333,,
45,Lotic Estuary,25.9,1.875,,
45.25,Lotic Estuary,25.8,1.885416667,,
45.5,Lotic Estuary,25.8,1.895833333,,
45.75,Lotic Estuary,25.7,1.90625,,
46,Lotic Estuary,25.8,1.916666667,,
46.25,Lotic Estuary,27.7,1.927083333,,
46.5,Lotic Estuary,28,1.9375,,
46.75,Lotic Estuary,28.1,1.947916667,,
47,Lotic Estuary,28,1.958333333,,
47.25,Lotic Estuary,27.4,1.96875,,
47.5,Lotic Estuary,27.4,1.979166667,,
47.75,Lotic Estuary,27.6,1.989583333,,
48,Lotic Estuary,27.7,2,,
48.25,Lotic Estuary,27.2,2.010416667,,
48.5,Lotic Estuary,27.1,2.020833333,,
48.75,Lotic Estuary,27.2,2.03125,,
49,Lotic Estuary,27.2,2.041666667,,
49.25,Lotic Estuary,27.2,2.052083333,,
49.5,Lotic Estuary,27.3,2.0625,,
49.75,Lotic Estuary,27.4,2.072916667,,
50,Lotic Estuary,27.4,2.083333333,,
50.25,Lotic Estuary,27.5,2.09375,,
50.5,Lotic Estuary,27.6,2.104166667,,
50.75,Lotic Estuary,27.6,2.114583333,,
51,Lotic Estuary,27.6,2.125,,
51.25,Lotic Estuary,27.5,2.135416667,,
51.5,Lotic Estuary,27.4,2.145833333,,
51.75,Lotic Estuary,27.4,2.15625,,
52,Lotic Estuary,27.5,2.166666667,,
52.25,Lotic Estuary,27.5,2.177083333,,
52.5,Lotic Estuary,27.5,2.1875,,
52.75,Lotic Estuary,27.5,2.197916667,,
53,Lotic Estuary,27.4,2.208333333,,
53.25,Lotic Estuary,27.4,2.21875,,
53.5,Lotic Estuary,27.4,2.229166667,,
53.75,Lotic Estuary,27.3,2.239583333,,
54,Lotic Estuary,27.3,2.25,,
54.25,Lotic Estuary,27.3,2.260416667,,
54.5,Lotic Estuary,27.3,2.270833333,,
54.75,Lotic Estuary,27.3,2.28125,,
55,Lotic Estuary,27.3,2.291666667,,
55.25,Lotic Estuary,27.3,2.302083333,,
55.5,Lotic Estuary,27.3,2.3125,,
55.75,Lotic Estuary,27.3,2.322916667,,
56,Lotic Estuary,27.3,2.333333333,,
56.25,Lotic Estuary,27.4,2.34375,,
56.5,Lotic Estuary,27.4,2.354166667,,
56.75,Lotic Estuary,27.4,2.364583333,,
57,Lotic Estuary,27.4,2.375,,
57.25,Lotic Estuary,27.5,2.385416667,,
57.5,Lotic Estuary,27.4,2.395833333,,
57.75,Lotic Estuary,27.4,2.40625,,
58,Lotic Estuary,27.4,2.416666667,,
58.25,Lotic Estuary,27.4,2.427083333,,
58.5,Lotic Estuary,27.4,2.4375,,
58.75,Lotic Estuary,27.4,2.447916667,,
59,Lotic Estuary,27.4,2.458333333,,
59.25,Lotic Estuary,27.3,2.46875,,
59.5,Lotic Estuary,27.2,2.479166667,,
59.75,Lotic Estuary,27.2,2.489583333,,
60,Lotic Estuary,27.1,2.5,,
60.25,Lotic Estuary,26.9,2.510416667,,
60.5,Lotic Estuary,26.9,2.520833333,,
60.75,Lotic Estuary,26.8,2.53125,,
61,Lotic Estuary,26.7,2.541666667,,
61.25,Lotic Estuary,26.5,2.552083333,,
61.5,Lotic Estuary,26.4,2.5625,,
61.75,Lotic Estuary,26.3,2.572916667,,
62,Lotic Estuary,26.2,2.583333333,,
62.25,Lotic Estuary,26.1,2.59375,,
62.5,Lotic Estuary,26,2.604166667,,
62.75,Lotic Estuary,25.9,2.614583333,,
63,Lotic Estuary,25.8,2.625,,
63.25,Lotic Estuary,25.7,2.635416667,,
63.5,Lotic Estuary,25.6,2.645833333,,
63.75,Lotic Estuary,25.5,2.65625,,
64,Lotic Estuary,25.4,2.666666667,,
64.25,Lotic Estuary,25.2,2.677083333,,
64.5,Lotic Estuary,25,2.6875,,
64.75,Lotic Estuary,24.9,2.697916667,,
65,Lotic Estuary,24.8,2.708333333,,
65.25,Lotic Estuary,24.9,2.71875,,
65.5,Lotic Estuary,25,2.729166667,,
65.75,Lotic Estuary,25.2,2.739583333,,
66,Lotic Estuary,25.5,2.75,,
66.25,Lotic Estuary,25.7,2.760416667,,
66.5,Lotic Estuary,25.9,2.770833333,,
66.75,Lotic Estuary,26.1,2.78125,,
67,Lotic Estuary,26.3,2.791666667,,
67.25,Lotic Estuary,26.5,2.802083333,,
67.5,Lotic Estuary,26.6,2.8125,,
67.75,Lotic Estuary,26.8,2.822916667,,
68,Lotic Estuary,26.9,2.833333333,,
68.25,Lotic Estuary,26.9,2.84375,,
68.5,Lotic Estuary,26.9,2.854166667,,
68.75,Lotic Estuary,27.2,2.864583333,,
69,Lotic Estuary,27,2.875,,
69.25,Lotic Estuary,27,2.885416667,,
69.5,Lotic Estuary,27,2.895833333,,
69.75,Lotic Estuary,27.2,2.90625,,
70,Lotic Estuary,27.2,2.916666667,,
70.25,Lotic Estuary,27.2,2.927083333,,
70.5,Lotic Estuary,26.9,2.9375,,
70.75,Lotic Estuary,26.9,2.947916667,,
71,Lotic Estuary,28.9,2.958333333,,
71.25,Lotic Estuary,27.7,2.96875,,
71.5,Lotic Estuary,29.2,2.979166667,,
71.75,Lotic Estuary,28.5,2.989583333,,
72,Lotic Estuary,28.6,3,,
72.25,Lotic Estuary,28.6,3.010416667,,
